('#', 1, ':', 'Disagree', 2)
('#', 2, ':', 'Disagree', 2)
('#', 3, ':', 'Completely Disagree', 1)
('#', 4, ':', 'Agree', 2)
('#', 5, ':', 'Agree', 2)
('#', 6, ':', 'Disagree', 2)
('#', 7, ':', 'Disagree', 2)
('#', 8, ':', 'Disagree', 2)
('#', 9, ':', 'Disagree', 2)
('#', 10, ':', 'Agree', 2)
('#', 11, ':', 'Disagree', 2)
('#', 12, ':', 'Disagree', 2)
('#', 13, ':', 'Disagree', 2)
('#', 14, ':', 'Disagree', 2)
('#', 15, ':', 'Disagree', 2)
('#', 16, ':', 'Completely Disagree', 1)
('#', 17, ':', 'Disagree', 2)
('#', 18, ':', 'Agree', 2)
('#', 19, ':', 'Agree', 2)
('#', 20, ':', 'Completely Disagree', 1)
('RESPONDANT', 1, 'SCORE:', 37, '------------')
('#', 1, ':', 'Disagree', 2)
('#', 2, ':', 'Neutral', 3)
('#', 3, ':', 'Completely Disagree', 1)
('#', 4, ':', 'Agree', 2)
('#', 5, ':', 'Agree', 2)
('#', 6, ':', 'Disagree', 2)
('#', 7, ':', 'Disagree', 2)
('#', 8, ':', 'Neutral', 3)
('#', 9, ':', 'Neutral', 3)
('#', 10, ':', 'Neutral', 3)
('#', 11, ':', 'Disagree', 2)
('#', 12, ':', 'Disagree', 2)
('#', 13, ':', 'Disagree', 2)
('#', 14, ':', 'Disagree', 2)
('#', 15, ':', 'Agree', 4)
('#', 16, ':', 'Neutral', 3)
('#', 17, ':', 'Neutral', 3)
('#', 18, ':', 'Agree', 2)
('#', 19, ':', 'Neutral', 3)
('#', 20, ':', 'Disagree', 2)
('RESPONDANT', 2, 'SCORE:', 48, '------------')
('#', 1, ':', 'Agree', 4)
('#', 2, ':', 'Completely Agree', 5)
('#', 3, ':', 'Neutral', 3)
('#', 4, ':', 'Neutral', 3)
('#', 5, ':', 'Completely Agree', 1)
('#', 6, ':', 'Neutral', 3)
('#', 7, ':', 'Neutral', 3)
('#', 8, ':', 'Disagree', 2)
('#', 9, ':', 'Agree', 4)
('#', 10, ':', 'Agree', 2)
('#', 11, ':', 'Disagree', 2)
('#', 12, ':', 'Agree', 4)
('#', 13, ':', 'Disagree', 2)
('#', 14, ':', 'Disagree', 2)
('#', 15, ':', 'Completely Agree', 5)
('#', 16, ':', 'Completely Agree', 5)
('#', 17, ':', 'Disagree', 2)
('#', 18, ':', 'Agree', 2)
('#', 19, ':', 'Agree', 2)
('#', 20, ':', 'Completely Agree', 5)
('RESPONDANT', 3, 'SCORE:', 61, '------------')
